id,streetName,latitude,longitude
1,Gran Via Corts Catalanes,41.397952,2.180042
2,Roger de Flor/ Gran Vía,41.39553,2.17706
3,Nàpols,41.394055,2.181299
4,Ribes,41.39348,2.181555
5,Pg Lluís Companys,41.391075,2.180223
6,Pg Lluís Companys,41.391349,2.18061
7,Pg Lluís Companys,41.388856,2.183251
8,Pg Lluís Companys,41.389088,2.183568
9,Marquès de l'Argentera,41.384532,2.184921
11,Passeig Marítim,41.381689,2.193914
12,Pg Marítim Barceloneta,41.384538,2.195679
13,Avinguda Litoral,41.386861,2.195761
14,Avinguda del Marques Argentera,41.384675,2.185039
15,Girona,41.394812,2.171189
16,Av. Meridiana,41.39827,2.186708
17,Av. Meridiana,41.398237,2.186711
18,Rosselló,41.406086,2.174167
19,Rosselló,41.403282,2.170726
20,Cartagena,41.410166,2.175759
21,Sant Antoni Maria Claret,41.410897,2.17402
22,Sardenya,41.401684,2.17568
23,Bruc,41.392526,2.171812
24,Marina,41.400659,2.179111
25,Bruc,41.395179,2.168294
26,Dos Maig,41.407035,2.181981
27,Provença,41.396897,2.164373
28,Sardenya,41.405422,2.17064
29,Provença,41.401132,2.170028
30,Diagonal,41.402046,2.182286
31,Plaça del Mar,41.37481,2.18895
32,Plaça del Mar,41.373698,2.188927
33,Pontevedra,41.376862,2.190773
34,Sant Pere Més Alt,41.387074,2.175247
35,Sant Ramon de Penyafort,41.413592,2.221153
36,Catedral,41.385151,2.176804
37,Pl. Antonio López,41.381226,2.181888
38,Pl. Pau Vila,41.381129,2.186397
39,Pl. Pau Vila,41.381046,2.186576
40,Doctor Aiguader,41.382335,2.187093
41,Pl. Poeta Boscà/Atlàntida,41.379326,2.189906
42,Ciutat de Granada,41.404511,2.189881
43,Av Meridiana,41.40541,2.18712
44,Av Meridiana,41.402285,2.187111
45,Sardenya,41.391429,2.189312
46,Ramon trias Fargas,41.388359,2.193004
47,Ramon Trias Fargas,41.389831,2.191147
48,Meridiana,41.396085,2.187073
49,Rosa Sensat en front,41.39106,2.196457
50,Av. Paral.lel,41.375,2.17035
51,Pl. Vicenç Martorell,41.384054,2.169019
53,Pl. Carles Pi i Sunyer,41.385227,2.173878
54,Sant Oleguer,41.377635,2.170586
55,La Rambla,41.381154,2.173497
56,Portal de Santa Madrona,41.377011,2.175834
57,La Rambla,41.376758,2.177093
58,Plaça dels Àngels,41.382822,2.167154
59,Plaça dels Àngels,41.382781,2.167203
60,Rambla Catalunya,41.390349,2.16424
61,Rambla Catalunya,41.390143,2.164946
62,Pl. Catalunya,41.387142,2.168858
63,Pl. Catalunya,41.386439,2.169417
64,Pl. Catalunya,41.387469,2.169048
65,Pl. Catalunya,41.387678,2.169587
66,Gran Via,41.389097,2.167933
67,Rocafort,41.385012,2.145843
68,Rambla Catalunya,41.395364,2.157356
69,Avda. Litoral,41.386814,2.195689
70,Comte Urgell,41.380347,2.160695
71,Floridablanca,41.381931,2.162969
72,Provença,41.392716,2.158811
73,Enric Granados,41.392278,2.156183
74,Josep Tarradellas,41.390062,2.143272
75,Josep Tarradellas,41.385081,2.142868
76,Còrsega,41.391751,2.153123
78,Pl. Universitat,41.385598,2.16338
79,Pl. Universitat,41.38547,2.16333
80,Enric Granados,41.389687,2.159999
81,Vilamarí davant,41.378915,2.149174
82,Rocafort,41.379016,2.153799
83,Comte Borrell,41.384075,2.153654
84,Comte d'Urgell,41.383047,2.157033
85,Paral·lel,41.375076,2.159046
86,Viladomat,41.37544,2.163
87,Mallorca,41.383156,2.148506
88,Londres,41.393547,2.150764
89,Rosselló,41.38824,2.150252
90,Rosselló,41.38834,2.150825
91,Comte Borrell,41.380452,2.158403
92,Provença,41.39386,2.160237
93,Gran Via,41.375454,2.149786
94,Gran Via,41.375619,2.149889
95,Tarragona,41.376428,2.147734
96,Gran Via,41.374152,2.148154
97,Tarragona,41.378124,2.145389
98,Viriat,41.380499,2.141153
99,Viriat,41.380632,2.141548
100,Tarragona,41.379135,2.14409
101,Av. Diagonal,41.392463,2.143182
102,Av. Diagonal,41.39218,2.14213
103,Aragó,41.409856,2.188217
104,C/València,41.410821,2.187365
105,PL. Urquinaona,41.389197,2.173555
106,Pl. Joanic,41.405587,2.162317
107,Travessera de Gracia,41.398373,2.153154
108,Indústria,41.402314,2.164961
109,C/ Londres,41.390981,2.14737
110,Avda. Roma,41.385377,2.154878
111,Calabria,41.381231,2.152755
112,Floridablanca,41.377644,2.15725
113,Sant Pau,41.377464,2.164725
114,Pl. Jean Genet,41.376801,2.173039
115,Marqués d'Argentera,41.38377,2.18424
116,Salvat Papasseit,41.383718,2.191414
117,Rosa Sensat,41.390666,2.197024
118,Sardenya,41.392212,2.187847
119,Sardenya,41.396684,2.182447
120,Lepant,41.404666,2.176515
121,Castillejos,41.406293,2.178689
122,Nàpols,41.405435,2.16624
123,Girona,41.398013,2.166978
124,Passeig Joan de Borbó,41.370297,2.187808
